Code,Variety,Class,Trial,Collaborative,Location,Year,Yield,Test,Protein,Height,Lodging,Headingdate,Stripe
SWW10001,Stephens*,SWW,OWEYT,OR,Corvallis_Unprotected,2018,87.8,60.6,6.9,38.3,NA,NA,NA
SWW10002,Tubbs 06*,SWW,OWEYT,OR,Corvallis_Unprotected,2018,89.3,60.6,7.4,43,NA,NA,NA
SWW10003,Mary,SWW,OWEYT,OR,Corvallis_Unprotected,2018,86.9,59.9,7.1,37,NA,NA,NA
SWW10004,Kaseberg,SWW,OWEYT,OR,Corvallis_Unprotected,2018,88.9,59.2,6.9,37.3,NA,NA,NA
SWW10005,Rosalyn,SWW,OWEYT,OR,Corvallis_Unprotected,2018,114.8,60,6.5,38.3,NA,NA,NA
SWW10006,Bobtail,SWW,OWEYT,OR,Corvallis_Unprotected,2018,104.1,59.6,7.1,37.5,NA,NA,NA
SWW10007,Norwest Tandem (LOR 334),SWW,OWEYT,OR,Corvallis_Unprotected,2018,106.3,62,7.9,35,NA,NA,NA
SWW10008,Norwest Duet (LOR 092),SWW,OWEYT,OR,Corvallis_Unprotected,2018,87.1,61.5,7,41.5,NA,NA,NA
SWW10009,IDN 07-28017B,SWW,OWEYT,OR,Corvallis_Unprotected,2018,100.7,62.6,7.8,38.3,NA,NA,NA
SWW10010,IDO 1005,SWW,OWEYT,OR,Corvallis_Unprotected,2018,81.9,60.3,8.1,39.8,NA,NA,NA
SWW10011,IDO 1708,SWW,OWEYT,OR,Corvallis_Unprotected,2018,90.4,59.4,7.6,40.3,NA,NA,NA
SWW10012,LCS Artdeco,SWW,OWEYT,OR,Corvallis_Unprotected,2018,111.2,60.5,7.1,36.3,NA,NA,NA
SWW10013,LCS Drive (LWW12-7105),SWW,OWEYT,OR,Corvallis_Unprotected,2018,95.8,59.9,6.4,31.8,NA,NA,NA
SWW10014,LCS Hulk (LWW14-73163),SWW,OWEYT,OR,Corvallis_Unprotected,2018,84.5,61.2,6.3,38,NA,NA,NA
SWW10015,LCS Shark (LWW14-71195),SWW,OWEYT,OR,Corvallis_Unprotected,2018,91.7,60,6.9,34.5,NA,NA,NA
SWW10016,LWW14-74143,SWW,OWEYT,OR,Corvallis_Unprotected,2018,107.1,59.6,5.8,37.5,NA,NA,NA
SWW10017,LWW14-72916,SWW,OWEYT,OR,Corvallis_Unprotected,2018,113.2,60.8,6.4,34,NA,NA,NA
SWW10018,LCS Sonic (LWW14-73161),SWW,OWEYT,OR,Corvallis_Unprotected,2018,97.8,60.6,7.1,43.3,NA,NA,NA
SWW10019,LWW15-71945,SWW,OWEYT,OR,Corvallis_Unprotected,2018,110.7,59,6.8,36.8,NA,NA,NA
SWW10020,WB 1529,SWW,OWEYT,OR,Corvallis_Unprotected,2018,92.2,62.9,8,38,NA,NA,NA
SWW10021,WB 1783,SWW,OWEYT,OR,Corvallis_Unprotected,2018,88.4,63.3,7.3,42,NA,NA,NA
SWW10022,WB 1604,SWW,OWEYT,OR,Corvallis_Unprotected,2018,89.3,60.2,7.6,39,NA,NA,NA
SWW10023,WB 1532,SWW,OWEYT,OR,Corvallis_Unprotected,2018,83.8,61.2,7.9,39,NA,NA,NA
SWW10024,XB 1104 (EXP),SWW,OWEYT,OR,Corvallis_Unprotected,2018,108.1,63,8.4,34.8,NA,NA,NA
SWW10025,SY Ovation,SWW,OWEYT,OR,Corvallis_Unprotected,2018,91.2,59.3,7.2,38.3,NA,NA,NA
SWW10026,SY Assure,SWW,OWEYT,OR,Corvallis_Unprotected,2018,98.5,61.2,7,37,NA,NA,NA
SWW10027,SY Command (04PN066-7),SWW,OWEYT,OR,Corvallis_Unprotected,2018,94.4,59,7.3,37.5,NA,NA,NA
SWW10028,SY Dayton (09PN062#18),SWW,OWEYT,OR,Corvallis_Unprotected,2018,96.1,61.2,7.2,36.3,NA,NA,NA
SWW10029,SY Banks (09PN005#25),SWW,OWEYT,OR,Corvallis_Unprotected,2018,88.7,60.7,6.7,38,NA,NA,NA
SWW10030,SY Raptor (09PN046#16),SWW,OWEYT,OR,Corvallis_Unprotected,2018,98,60.4,7.3,37,NA,NA,NA
SWW10031,SY Candor (SY 09PN008#72),SWW,OWEYT,OR,Corvallis_Unprotected,2018,86.7,60.9,7.6,40,NA,NA,NA
SWW10032,WA 8292,SWW,OWEYT,OR,Corvallis_Unprotected,2018,90.2,61,7.4,39.8,NA,NA,NA
SWW10033,WA 8293,SWW,OWEYT,OR,Corvallis_Unprotected,2018,93.4,61.7,7.6,42,NA,NA,NA
CW40001,ARS DH08X117-83C,Club,OWEYT,OR,Corvallis_Unprotected,2018,82.3,62.1,6.9,39.8,NA,NA,NA
CW40002,ARS DH08X028-9C,Club,OWEYT,OR,Corvallis_Unprotected,2018,84.6,61.6,7.4,40.3,NA,NA,NA
SWW10034,YS-201,SWW,OWEYT,OR,Corvallis_Unprotected,2018,80.2,60.6,6.8,39,NA,NA,NA
SWW10035,M-Press,SWW,OWEYT,OR,Corvallis_Unprotected,2018,92.5,60.9,6.7,38.8,NA,NA,NA
SWW10036,OR2121086,SWW,OWEYT,OR,Corvallis_Unprotected,2018,105.1,62.1,7.8,41,NA,NA,NA
SWW10037,OR2121285,SWW,OWEYT,OR,Corvallis_Unprotected,2018,97.3,62.1,7.3,37.5,NA,NA,NA
SWW10038,OR2130081,SWW,OWEYT,OR,Corvallis_Unprotected,2018,103.4,60.9,8,44.8,NA,NA,NA
SWW10001,Stephens*,SWW,OWEYT,OR,Hermiston,2018,131.7,63.3,11.2,39.7,26.7,NA,NA
SWW10002,Tubbs 06*,SWW,OWEYT,OR,Hermiston,2018,122.7,62.8,10.1,39.7,6.7,NA,NA
SWW10003,Mary,SWW,OWEYT,OR,Hermiston,2018,122.2,64,9.8,35.3,0,NA,NA
